Week,Stocks: (Worldwide)
2013-02-17,44
2013-02-24,45
2013-03-03,53
2013-03-10,45
2013-03-17,46
2013-03-24,41
2013-03-31,42
2013-04-07,44
2013-04-14,39
2013-04-21,43
2013-04-28,41
2013-05-05,44
2013-05-12,38
2013-05-19,41
2013-05-26,36
2013-06-02,34
2013-06-09,37
2013-06-16,35
2013-06-23,40
2013-06-30,30
2013-07-07,36
2013-07-14,38
2013-07-21,37
2013-07-28,38
2013-08-04,37
2013-08-11,39
2013-08-18,36
2013-08-25,38
2013-09-01,34
2013-09-08,39
2013-09-15,54
2013-09-22,60
2013-09-29,55
2013-10-06,50
2013-10-13,51
2013-10-20,52
2013-10-27,49
2013-11-03,51
2013-11-10,47
2013-11-17,52
2013-11-24,41
2013-12-01,46
2013-12-08,45
2013-12-15,46
2013-12-22,44
2013-12-29,55
2014-01-05,61
2014-01-12,56
2014-01-19,55
2014-01-26,56
2014-02-02,54
2014-02-09,52
2014-02-16,57
2014-02-23,58
2014-03-02,58
2014-03-09,55
2014-03-16,54
2014-03-23,49
2014-03-30,52
2014-04-06,51
2014-04-13,45
2014-04-20,46
2014-04-27,46
2014-05-04,45
2014-05-11,45
2014-05-18,42
2014-05-25,37
2014-06-01,41
2014-06-08,41
2014-06-15,36
2014-06-22,38
2014-06-29,35
2014-07-06,39
2014-07-13,40
2014-07-20,41
2014-07-27,39
2014-08-03,39
2014-08-10,35
2014-08-17,40
2014-08-24,40
2014-08-31,38
2014-09-07,45
2014-09-14,50
2014-09-21,45
2014-09-28,44
2014-10-05,43
2014-10-12,51
2014-10-19,47
2014-10-26,48
2014-11-02,49
2014-11-09,47
2014-11-16,48
2014-11-23,43
2014-11-30,50
2014-12-07,51
2014-12-14,60
2014-12-21,45
2014-12-28,50
2015-01-04,54
2015-01-11,51
2015-01-18,49
2015-01-25,54
2015-02-01,55
2015-02-08,52
2015-02-15,51
2015-02-22,54
2015-03-01,51
2015-03-08,48
2015-03-15,50
2015-03-22,47
2015-03-29,45
2015-04-05,48
2015-04-12,50
2015-04-19,48
2015-04-26,46
2015-05-03,44
2015-05-10,42
2015-05-17,46
2015-05-24,37
2015-05-31,40
2015-06-07,38
2015-06-14,37
2015-06-21,41
2015-06-28,41
2015-07-05,46
2015-07-12,42
2015-07-19,43
2015-07-26,44
2015-08-02,43
2015-08-09,41
2015-08-16,49
2015-08-23,75
2015-08-30,48
2015-09-06,42
2015-09-13,41
2015-09-20,45
2015-09-27,44
2015-10-04,46
2015-10-11,43
2015-10-18,43
2015-10-25,44
2015-11-01,46
2015-11-08,44
2015-11-15,44
2015-11-22,37
2015-11-29,42
2015-12-06,45
2015-12-13,48
2015-12-20,38
2015-12-27,45
2016-01-03,56
2016-01-10,55
2016-01-17,55
2016-01-24,52
2016-01-31,52
2016-02-07,56
2016-02-14,46
2016-02-21,48
2016-02-28,51
2016-03-06,46
2016-03-13,46
2016-03-20,43
2016-03-27,44
2016-04-03,49
2016-04-10,48
2016-04-17,46
2016-04-24,48
2016-05-01,45
2016-05-08,43
2016-05-15,43
2016-05-22,40
2016-05-29,35
2016-06-05,41
2016-06-12,40
2016-06-19,52
2016-06-26,50
2016-07-03,41
2016-07-10,49
2016-07-17,45
2016-07-24,46
2016-07-31,42
2016-08-07,40
2016-08-14,38
2016-08-21,40
2016-08-28,40
2016-09-04,41
2016-09-11,44
2016-09-18,44
2016-09-25,44
2016-10-02,46
2016-10-09,43
2016-10-16,45
2016-10-23,45
2016-10-30,46
2016-11-06,81
2016-11-13,61
2016-11-20,49
2016-11-27,54
2016-12-04,58
2016-12-11,54
2016-12-18,48
2016-12-25,48
2017-01-01,55
2017-01-08,62
2017-01-15,58
2017-01-22,64
2017-01-29,62
2017-02-05,63
2017-02-12,64
2017-02-19,59
2017-02-26,67
2017-03-05,60
2017-03-12,56
2017-03-19,57
2017-03-26,59
2017-04-02,56
2017-04-09,55
2017-04-16,53
2017-04-23,54
2017-04-30,52
2017-05-07,54
2017-05-14,52
2017-05-21,49
2017-05-28,48
2017-06-04,50
2017-06-11,52
2017-06-18,54
2017-06-25,50
2017-07-02,48
2017-07-09,51
2017-07-16,51
2017-07-23,51
2017-07-30,56
2017-08-06,56
2017-08-13,49
2017-08-20,47
2017-08-27,48
2017-09-03,49
2017-09-10,52
2017-09-17,52
2017-09-24,50
2017-10-01,85
2017-10-08,65
2017-10-15,57
2017-10-22,58
2017-10-29,61
2017-11-05,65
2017-11-12,66
2017-11-19,58
2017-11-26,74
2017-12-03,74
2017-12-10,73
2017-12-17,76
2017-12-24,73
2017-12-31,94
2018-01-07,96
2018-01-14,80
2018-01-21,83
2018-01-28,83
2018-02-04,100
2018-02-11,70
2018-02-18,24
2018-02-25,22
2018-03-04,19
2018-03-11,18
2018-03-18,20
2018-03-25,18
2018-04-01,19
2018-04-08,17
2018-04-15,17
2018-04-22,16
2018-04-29,16
2018-05-06,16
2018-05-13,16
2018-05-20,15
2018-05-27,15
2018-06-03,16
2018-06-10,16
2018-06-17,16
2018-06-24,15
2018-07-01,14
2018-07-08,15
2018-07-15,15
2018-07-22,17
2018-07-29,17
2018-08-05,17
2018-08-12,16
2018-08-19,17
2018-08-26,19
2018-09-02,20
2018-09-09,19
2018-09-16,20
2018-09-23,19
2018-09-30,20
2018-10-07,21
2018-10-14,21
2018-10-21,20
2018-10-28,19
2018-11-04,17
2018-11-11,17
2018-11-18,14
2018-11-25,17
2018-12-02,18
2018-12-09,16
2018-12-16,21
2018-12-23,18
2018-12-30,18
2019-01-06,18
2019-01-13,18
2019-01-20,16
2019-01-27,18
2019-02-03,19
2019-02-10,18
2019-02-17,18
2019-02-24,18
2019-03-03,17
2019-03-10,18
2019-03-17,18
2019-03-24,17
2019-03-31,18
2019-04-07,16
2019-04-14,16
2019-04-21,16
2019-04-28,17
2019-05-05,16
2019-05-12,17
2019-05-19,16
2019-05-26,15
2019-06-02,16
2019-06-09,15
2019-06-16,16
2019-06-23,15
2019-06-30,14
2019-07-07,15
2019-07-14,15
2019-07-21,16
2019-07-28,16
2019-08-04,17
2019-08-11,18
2019-08-18,16
2019-08-25,16
2019-09-01,15
2019-09-08,17
2019-09-15,17
2019-09-22,16
2019-09-29,15
2019-10-06,16
2019-10-13,15
2019-10-20,16
2019-10-27,16
2019-11-03,18
2019-11-10,17
2019-11-17,18
2019-11-24,15
2019-12-01,17
2019-12-08,16
2019-12-15,17
2019-12-22,16
2019-12-29,20
2020-01-05,22
2020-01-12,21
2020-01-19,20
2020-01-26,21
2020-02-02,25
2020-02-09,23
2020-02-16,22
2020-02-23,37
2020-03-01,33
2020-03-08,61
2020-03-15,69
2020-03-22,61
2020-03-29,46
2020-04-05,43
2020-04-12,45
2020-04-19,49
2020-04-26,43
2020-05-03,40
2020-05-10,35
2020-05-17,36
2020-05-24,33
2020-05-31,43
2020-06-07,49
2020-06-14,37
2020-06-21,34
2020-06-28,30
2020-07-05,34
2020-07-12,33
2020-07-19,33
2020-07-26,34
2020-08-02,32
2020-08-09,32
2020-08-16,31
2020-08-23,33
2020-08-30,38
2020-09-06,28
2020-09-13,28
2020-09-20,27
2020-09-27,24
2020-10-04,25
2020-10-11,25
2020-10-18,24
2020-10-25,24
2020-11-01,24
2020-11-08,32
2020-11-15,33
2020-11-22,32
2020-11-29,36
2020-12-06,37
2020-12-13,33
2020-12-20,32
2020-12-27,36
2021-01-03,48
2021-01-10,52
2021-01-17,45
2021-01-24,100
2021-01-31,81
2021-02-07,69
2021-02-14,53
2021-02-21,51
2021-02-28,42
2021-03-07,44
2021-03-14,37
2021-03-21,35
2021-03-28,30
2021-04-04,31
2021-04-11,37
2021-04-18,38
2021-04-25,34
2021-05-02,40
2021-05-09,43
2021-05-16,33
2021-05-23,34
2021-05-30,38
2021-06-06,36
2021-06-13,33
2021-06-20,29
2021-06-27,29
2021-07-04,27
2021-07-11,26
2021-07-18,26
2021-07-25,26
2021-08-01,26
2021-08-08,26
2021-08-15,24
2021-08-22,26
2021-08-29,26
2021-09-05,23
2021-09-12,25
2021-09-19,25
2021-09-26,25
2021-10-03,28
2021-10-10,28
2021-10-17,29
2021-10-24,30
2021-10-31,30
2021-11-07,31
2021-11-14,29
2021-11-21,27
2021-11-28,29
2021-12-05,26
2021-12-12,27
2021-12-19,25
2021-12-26,28
2022-01-02,35
2022-01-09,33
2022-01-16,32
2022-01-23,33
2022-01-30,33
2022-02-06,29
2022-02-13,29
2022-02-20,32
2022-02-27,30
2022-03-06,31
2022-03-13,27
2022-03-20,27
2022-03-27,28
2022-04-03,30
2022-04-10,26
2022-04-17,27
2022-04-24,28
2022-05-01,26
2022-05-08,28
2022-05-15,24
2022-05-22,23
2022-05-29,20
2022-06-05,21
2022-06-12,25
2022-06-19,20
2022-06-26,18
2022-07-03,18
2022-07-10,19
2022-07-17,21
2022-07-24,21
2022-07-31,22
2022-08-07,22
2022-08-14,23
2022-08-21,22
2022-08-28,22
2022-09-04,20
2022-09-11,22
2022-09-18,22
2022-09-25,21
2022-10-02,21
2022-10-09,20
2022-10-16,19
2022-10-23,21
2022-10-30,22
2022-11-06,23
2022-11-13,22
2022-11-20,17
2022-11-27,20
2022-12-04,20
2022-12-11,20
2022-12-18,19
2022-12-25,20
2023-01-01,22
2023-01-08,22
2023-01-15,20
2023-01-22,22
2023-01-29,27
2023-02-05,25
